Addresses,amount_DBI,tx_list_DBI,amount_LI,tx_list_LI,amount_SI,tx_list_SI,deposited_DBI,deposited_LI,deposited_SI
0xd39d142e8c8774e2261ba4d05623f7235d1c1b11,0.0,,0.0,,0.0,,0.0,0.0,0.1426640729
0xc5e3b3832c918ff4803a1cd433bd96318762a6f8,0.0,,0.0,,0.0,,589.3223434569,84.3414769727,13584.0520471424
0x21dc204a56732756fa9304384045113856c6690d,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xffa3050f08e32f3a08522f352f9bc5325cd27e9b,0.0,,0.0,,0.0,,33.7610331983,0.0,1667.67086894
0xb1c35b59c328567ce86db3fd8a5ed342a2dfa00f,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xa434f49fbd7f3f75c89b501c509c69151d8f93bb,101.92647680550904,0xb7763e97b5fb0b0bfff1583b7dd7adc504a6473e4bfc1ba18b79cc181bedef70,0.0,,0.0,,0.8844731523,0.0,0.0
0x3d300b62d70008714ea59690de1c4c83faf18099,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x9419af32c6685077bcff336de6ff0ee0aa30228c,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x475ff398f2e274c16383ee82109b757b31fb08ed,0.0,,0.0,,0.0,,0.0,0.0,0.1417804088
0xc64d755e5faf51a39f5cee1e492dd9268b5db203,0.0,,0.0,,0.0,,8.516807779,1.333501475,0.0
0x606eaf6afae3cad042fbe7d8d32aac88935f3430,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x3eb72125ff02a0e1e6276b66f0832835f4fc9337,0.0,,51.54051282051271,"0x93a0c7aad205d5baaabfd11f1a69477ec7cad0c2dd46de19de3b3bcea8a17011,0xf958037186a864090b6ddbbba05be3266ba0d4002dfdd0333617881913060a9a,0x31212004529329442df0854febce19210838393905de338a74cb2cc9604ac312,0x96dd1f6f6bdfdda3635dcd42041ee85290571a90346ae9ae766ee914ae48daa0",4777.511956774657,"0x1e3bfe64de571bb4f942d64146aa7b96411c22de3881f1aca2e7b80b1350aa47,0xf0eb36bb1446447235dcdea1307353782e2454b38744d76e9209081182c27903,0x08632b02eed17f132eea21b6062a07ad4920ef184f5cdf8583a324b6b498d068",13.4382,0.2217,348.2389793623
0x7a6f49ac403c55af6bfdc58a1a0d4eaa60f5431d,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x994085488b4a298028b6c0f3a17f0b8e61d22ace,67.37607128429036,0xc1e4a3c8dd32f7e47f5af16f8c7a8c12576af1525ae514d4b86c17c0212ad821,0.0,0x272835e50baab1750799e568e766911fe62b35a0a3ff076dba338b4a3c9be1a5,407053.2325314391,0xa362f0ec99444de5bba55e9905bbe50f877ec39229acea2d4e71bfe248bf43c4,0.3996454554,0.0,29087.330834485998
0x2ed8755c765e678c4d3b008734e90bfd3af964d5,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x31fced8b77609c9db2aca0bb6ddb8be05b6933e4,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xe0e2dfc3ecf8dde7260c0b1df497dbbf52917787,0.0,,890.0128264805769,0x97c408a026f76fe8834a70e2c0082070a5e788b597f0f6cc07e2e608da3c1b9b,1526.0961726250807,0x558123b44cc37568742753a6f2024d58c040d375c3c4354f75e653a146894bd9,5.986903160600001,0.4771,109.0754524445
